Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Béni Mellal-Khénifra,La Petite Gorge,Café,Formel,La Petite Gorge,31.5748382,-5.5834365,icons/cafe.png,OSM
Béni Mellal-Khénifra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.6816034,-5.5330784,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Berbère de la Montagne,Restaurant,Formel,Berbère de la Montagne,31.557878,-5.9095123,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,31.6962689,-5.8169484,icons/pharmacy.png,OSM
Béni Mellal-Khénifra,Pharmacie du Maroc صيدلية المغرب,Parapharmacie,Formel,"Avenue Mohamed V شارع الحسن الثاني, Tinghir",31.5063276,-5.5392384,icons/pharmacy.png,OSM
Béni Mellal-Khénifra,Café sans nom,Café,Formel,Café sans nom,31.508106,-5.5391008,icons/cafe.png,OSM
Béni Mellal-Khénifra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.510647,-5.5384669,icons/restaurant.png,OSM
Béni Mellal-Khénifra,2 Mars,Café,Formel,2 Mars,32.9352106,-5.667755,icons/cafe.png,OSM
Béni Mellal-Khénifra,Café sans nom,Café,Formel,Café sans nom,32.9350609,-5.6677955,icons/cafe.png,OSM
Béni Mellal-Khénifra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.4568329,-5.2386639,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Le Soleil,Restaurant,Formel,Le Soleil,31.5477657,-5.589631,icons/restaurant.png,OSM
Béni Mellal-Khénifra,La Kasba,Restaurant,Formel,La Kasba,31.5232499,-5.5295443,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.4337601,-5.2047914,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Hotel Le Vieux Chateau du Dades,Restaurant,Formel,Route R704,31.5233381,-5.9278167,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Kasbah Omari,Restaurant,Formel,Kasbah Omari,31.5312377,-5.5523321,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Riad el Borj,Restaurant,Formel,Riad el Borj,33.0108408,-5.6327033,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Titrite,Restaurant,Formel,Titrite,32.97332,-5.661685,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Pharmacie Zouhair صيدلية زهير,Parapharmacie,Formel,Azrou ⴰⵣⵔⵓ أزرو,33.4386614,-5.2118456,icons/pharmacy.png,OSM
Béni Mellal-Khénifra,Pharmacie Ousadden صيدلية أوسادن,Parapharmacie,Formel,Azrou أزرو,33.4417744,-5.2260459,icons/pharmacy.png,OSM
Béni Mellal-Khénifra,Atlas Berbere,Restaurant,Formel,Atlas Berbere,31.5231062,-5.9279514,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Cafe Restaurant Riad,Restaurant,Formel,"Route N10, Tinejdad",31.5098234,-5.0313106,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Terrasse Ferila,Restaurant,Formel,"Route N10, Tinejdad",31.5096082,-5.0321022,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Zakar Charif,Restaurant,Formel,Zakar Charif,31.55779,-5.5805356,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Atlas,Restaurant,Formel,Atlas,31.5531647,-5.5850104,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Restaurant Auberg Afoud,Restaurant,Formel,Restaurant Auberg Afoud,32.0065955,-5.4862633,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Auberge Ibrahim,Restaurant,Formel,Auberge Ibrahim,32.0122154,-5.487619,icons/restaurant.png,OSM
Béni Mellal-Khénifra,La Source du Dades,Restaurant,Formel,La Source du Dades,31.552595,-5.907519,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Kasbah des Roches,Restaurant,Formel,Kasbah des Roches,31.5500739,-5.9096413,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Bleu Afriqua,Restaurant,Formel,Bleu Afriqua,31.5301953,-5.9250925,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Taghya,Restaurant,Formel,Taghya,31.550098,-5.9101471,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Kasbah de Lucas,Restaurant,Formel,Kasbah de Lucas,31.538476,-5.9193904,icons/restaurant.png,OSM
Béni Mellal-Khénifra,La Gazelle du Dades,Restaurant,Formel,La Gazelle du Dades,31.5206441,-5.9300728,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Tissa Drine,Restaurant,Formel,Tissa Drine,31.5214844,-5.9296,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Auberge Chez Pierrette & Moha,Restaurant,Formel,Auberge Chez Pierrette & Moha,31.5155794,-5.9331229,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Kasbah de la Valleé,Restaurant,Formel,Kasbah de la Valleé,31.5210362,-5.929812,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Timzzillite,Restaurant,Formel,Timzzillite,31.5296761,-5.9252327,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,31.5147692,-5.5381015,icons/convenience.png,OSM
Béni Mellal-Khénifra,Mriya,Restaurant,Formel,Mriya,31.5432627,-5.567713,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Oueb Eddahab,Café,Formel,Oueb Eddahab,31.5162934,-5.015309,icons/cafe.png,OSM
Béni Mellal-Khénifra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.3664957,-5.1505268,icons/restaurant.png,OSM
Béni Mellal-Khénifra,El Mabrouk,Restaurant,Formel,El Mabrouk,31.5297783,-5.5464634,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Etoile des Gorges,Café,Formel,Etoile des Gorges,31.5832459,-5.5911998,icons/cafe.png,OSM
Béni Mellal-Khénifra,La Source Des Poissons Sacres,Restaurant,Formel,La Source Des Poissons Sacres,31.5544462,-5.5853331,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Restaurant Annour - Chez Hassan,Restaurant,Formel,Restaurant Annour - Chez Hassan,33.4370124,-5.2210309,icons/restaurant.png,OSM
Béni Mellal-Khénifra,Tayri Cafe,Café,Formel,Tayri Cafe,31.7459698,-5.7998576,icons/cafe.png,OSM
Béni Mellal-Khénifra,Marjane,Supermarché,Formel,Marjane,32.3438577,-6.3605655,icons/supermarket.png,OSM
