Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Casablanca,La Bodega,Restaurant,Formel,"Rue Allal Ben Abdellah, Casablanca",33.5952195,-7.6115725,icons/restaurant.png,OSM
Casablanca,La Sqala,Restaurant,Formel,"Boulevard des Almohades, Casablanca",33.6028481,-7.619212,icons/restaurant.png,OSM
Casablanca,Pizza Hut,Restaurant,Formel,Pizza Hut,33.5928474,-7.597267,icons/restaurant.png,OSM
Casablanca,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5821087,-7.6265575,icons/pharmacy.png,OSM
Casablanca,Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958,icons/supermarket.png,OSM
Casablanca,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5896864,-7.6265742,icons/restaurant.png,OSM
Casablanca,Chez Pépé,Restaurant,Formel,Chez Pépé,33.595533,-7.6454829,icons/restaurant.png,OSM
Casablanca,khalid ibn oualid,Parapharmacie,Formel,khalid ibn oualid,33.6000497,-7.5450991,icons/pharmacy.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.6004234,-7.6172703,icons/convenience.png,OSM
Casablanca,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5999101,-7.6174265,icons/restaurant.png,OSM
Casablanca,Au 19 Heure,Café,Formel,Au 19 Heure,33.5827625,-7.6112767,icons/cafe.png,OSM
Casablanca,pharmacie wifak,Parapharmacie,Formel,pharmacie wifak,33.5598715,-7.6919901,icons/pharmacy.png,OSM
Casablanca,Pharmacie Ahmed,Parapharmacie,Formel,Pharmacie Ahmed,33.5574213,-7.6902715,icons/pharmacy.png,OSM
Casablanca,Maeva,Café,Formel,Maeva,33.5957256,-7.5933532,icons/cafe.png,OSM
Casablanca,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5545488,-7.6399358,icons/pharmacy.png,OSM
Casablanca,Dalal,Parapharmacie,Formel,Rue de Vanneaux,33.5545398,-7.6360392,icons/pharmacy.png,OSM
Casablanca,Antouki,Boulangerie,Formel,Antouki,33.5937563,-7.5970471,icons/bakery.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5924515,-7.5954887,icons/cafe.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.594621,-7.5934475,icons/cafe.png,OSM
Casablanca,Sampione,Café,Formel,Sampione,33.5928563,-7.5971409,icons/cafe.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5926705,-7.5961807,icons/cafe.png,OSM
Casablanca,Mahboub محبوب,Restaurant,Formel,Mahboub محبوب,33.5921991,-7.5923586,icons/restaurant.png,OSM
Casablanca,Amoud,Boulangerie,Formel,Amoud,33.5938837,-7.596119,icons/bakery.png,OSM
Casablanca,Snack Essaada,Restaurant,Formel,"Boulevard Émile Zola, Casablanca",33.5936543,-7.5974637,icons/restaurant.png,OSM
Casablanca,Paradisio,Restaurant,Formel,Boulevard Émile Zola,33.5938278,-7.5969183,icons/restaurant.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5920315,-7.5973448,icons/cafe.png,OSM
Casablanca,Pharmacie du conseil,Parapharmacie,Formel,Boulevards Mohammed 5,33.5920672,-7.5950193,icons/pharmacy.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5916786,-7.5917569,icons/cafe.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5921344,-7.6002863,icons/cafe.png,OSM
Casablanca,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5905168,-7.5955656,icons/restaurant.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5909904,-7.5975933,icons/cafe.png,OSM
Casablanca,Venezia Ice,Café,Formel,Venezia Ice,33.5944312,-7.5954315,icons/cafe.png,OSM
Casablanca,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5941095,-7.5965151,icons/pharmacy.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5906061,-7.595469,icons/cafe.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5910262,-7.5924971,icons/cafe.png,OSM
Casablanca,Kiosque sans nom,Kiosque,Informel,Kiosque sans nom,33.5911175,-7.5924051,icons/kiosk.png,OSM
Casablanca,Acima,Supermarché,Formel,Boulevard Emile Zola,33.5945384,-7.595292,icons/supermarket.png,OSM
Casablanca,Alhana,Café,Formel,Alhana,33.5900564,-7.5931006,icons/cafe.png,OSM
Casablanca,Café de la gare,Café,Formel,Café de la gare,33.5899952,-7.5905952,icons/cafe.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5909815,-7.591435,icons/cafe.png,OSM
Casablanca,Bellevue,Café,Formel,Bellevue,33.5906508,-7.5928083,icons/cafe.png,OSM
Casablanca,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5637163,-7.6355448,icons/pharmacy.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5966384,-7.628025,icons/convenience.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.596692,-7.6297201,icons/convenience.png,OSM
Casablanca,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.5971969,-7.6284702,icons/bakery.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5960083,-7.627848,icons/convenience.png,OSM
Casablanca,Jus Bordeaux,Café,Formel,Jus Bordeaux,33.5969487,-7.6279619,icons/cafe.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5971612,-7.628353,icons/convenience.png,OSM
Casablanca,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5959681,-7.6276825,icons/pharmacy.png,OSM
Casablanca,Monsieur Brochette,Restaurant,Formel,Monsieur Brochette,33.5949185,-7.6271531,icons/restaurant.png,OSM
Casablanca,Mamelouk Café,Restaurant,Formel,Mamelouk Café,33.5962988,-7.6304773,icons/restaurant.png,OSM
Casablanca,Café Splendeur,Café,Formel,Boulevard Ziraoui شارع الزيراوي,33.5962469,-7.6313052,icons/cafe.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5965848,-7.6302949,icons/convenience.png,OSM
Casablanca,Marjane,Supermarché,Formel,Marjane,33.5746919,-7.7081046,icons/supermarket.png,OSM
Casablanca,Boulangerie Patisserie Itrane مخبزة وحلويات إثران,Boulangerie,Formel,Boulangerie Patisserie Itrane مخبزة وحلويات إثران,33.5765842,-7.6732554,icons/bakery.png,OSM
Casablanca,Luigi,Restaurant,Formel,Rue Ibnou Yaala Al Ifrani زنقة ابن يعلى الإفراني,33.5882356,-7.6398452,icons/restaurant.png,OSM
Casablanca,Supermarché Mamoun,Supermarché,Formel,Rue Normandie زنقة نورماندي,33.5879309,-7.6393934,icons/supermarket.png,OSM
Casablanca,Restaurant grillades au top,Café,Formel,Restaurant grillades au top,33.5111856,-7.6105369,icons/cafe.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5101793,-7.6077293,icons/convenience.png,OSM
Casablanca,Café sans nom,Café,Formel,Café sans nom,33.5102423,-7.6078169,icons/cafe.png,OSM
Casablanca,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.5110067,-7.6104565,icons/convenience.png,OSM
Casablanca,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5109396,-7.6103706,icons/restaurant.png,OSM
Casablanca,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5100315,-7.6077605,icons/restaurant.png,OSM
Casablanca,Alba Fast Food,Restaurant,Formel,Alba Fast Food,33.5930113,-7.6171532,icons/restaurant.png,OSM
Casablanca,Cafe Black Stone,Café,Formel,Cafe Black Stone,33.5951697,-7.610295,icons/cafe.png,OSM
Casablanca,Café Ghandi,Café,Formel,Café Ghandi,33.5656336,-7.6379599,icons/cafe.png,OSM
Casablanca,Don Camilo,Restaurant,Formel,"Rue Abou Rakrak, Casablanca",33.587649,-7.612959,icons/restaurant.png,OSM
Casablanca,Rick's Cafe,Restaurant,Formel,"Boulevard Sour Jdid, Casablanca",33.604995,-7.620406,icons/restaurant.png,OSM
Casablanca,Bonne mie,Boulangerie,Formel,Boulevard de la Liberté,33.5868905,-7.6118985,icons/bakery.png,OSM
Casablanca,ماكدونالدز,Restaurant,Formel,"Boulevard Ziraoui, Casablanca",33.594793,-7.6331748,icons/restaurant.png,OSM
Casablanca,Marjane Market,Supermarché,Formel,Boulevard de Bourgogne شارع بوركون,33.594818,-7.6515874,icons/supermarket.png,OSM
Casablanca,Carrefour Gourmet,Supermarché,Formel,Avenue Ahmed Charci شارع أحمد الشرسي,33.5908121,-7.6462218,icons/supermarket.png,OSM
Casablanca,Paul,Boulangerie,Formel,Avenue Moulay Rachid شارع مولاي رشيد,33.5880534,-7.6453209,icons/bakery.png,OSM
