Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Dakhla-Oued Ed-Dahab,Chtokan,Restaurant,Formel,Chtokan,23.5675154,-15.8901071,icons/restaurant.png,OSM
Dakhla-Oued Ed-Dahab,Wanny,Supermarché,Formel,Wanny,23.6937547,-15.9370878,icons/supermarket.png,OSM
Dakhla-Oued Ed-Dahab,Panini Vegetal,Restaurant,Formel,Panini Vegetal,23.6990104,-15.9303596,icons/restaurant.png,OSM
Dakhla-Oued Ed-Dahab,Pharmacie de la Sable صيدلية الرمل,Parapharmacie,Formel,"Boulevard Tmaya شارع تماية, Dakhla ⴷⴰⵅⵍⴰ الداخلة",23.7326386,-15.9175011,icons/pharmacy.png,OSM
Dakhla-Oued Ed-Dahab,Ritaj,Restaurant,Formel,Ritaj,23.7007189,-15.9292947,icons/restaurant.png,OSM
Dakhla-Oued Ed-Dahab,Chic Choc,Café,Formel,Chic Choc,23.6988497,-15.9301003,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Café sans nom,Café,Formel,Café sans nom,23.8929117,-15.6764281,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Il Postino,Restaurant,Formel,Il Postino,23.7028993,-15.9276943,icons/restaurant.png,OSM
Dakhla-Oued Ed-Dahab,Café Miramar,Café,Formel,Café Miramar,23.7351551,-15.9162779,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Tirs 111,Café,Formel,Tirs 111,24.3724939,-15.2708583,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,La Baie d'Or,Restaurant,Formel,La Baie d'Or,23.6989987,-15.9306,icons/restaurant.png,OSM
Dakhla-Oued Ed-Dahab,Café sans nom,Café,Formel,Café sans nom,23.7005582,-15.9297784,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Mod مود,Supermarché,Formel,"Boulevard Al Moukaouama شارع ا؛مقاومة, Dakhla",23.7008191,-15.9306219,icons/supermarket.png,OSM
Dakhla-Oued Ed-Dahab,Café Villa Cisneros,Café,Formel,Café Villa Cisneros,23.7027746,-15.9285827,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Pharmacie Al Moukaouama صيدلية المقاومة,Parapharmacie,Formel,"Boulevard Al Moukaouama شارع ا؛مقاومة, Dakhla ⴷⴰⵅⵍⴰ الداخلة",23.7006402,-15.9307371,icons/pharmacy.png,OSM
Dakhla-Oued Ed-Dahab,Prestigia,Café,Formel,Prestigia,23.7016288,-15.9307573,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Café sans nom,Café,Formel,Café sans nom,23.7022429,-15.92864,icons/cafe.png,OSM
Dakhla-Oued Ed-Dahab,Lagune Food,Restaurant,Formel,Lagune Food,23.7022315,-15.9274718,icons/restaurant.png,OSM
