Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Drâa-Tafilalet,Marché Couvert,Épicerie,Informel,Marché Couvert,30.9228889,-6.9200954,icons/greengrocer.png,OSM
Drâa-Tafilalet,La Petite Gorge,Café,Formel,La Petite Gorge,31.5748382,-5.5834365,icons/cafe.png,OSM
Drâa-Tafilalet,La Kasbah,Restaurant,Formel,La Kasbah,30.9208891,-6.8998854,icons/restaurant.png,OSM
Drâa-Tafilalet,Hôtel Restaurant Kasbah Asmaa,Restaurant,Formel,Hôtel Restaurant Kasbah Asmaa,30.3194888,-5.8304608,icons/restaurant.png,OSM
Drâa-Tafilalet,Chez Dimitri,Restaurant,Formel,Av. Mohamed V,30.9205559,-6.9152618,icons/restaurant.png,OSM
Drâa-Tafilalet,Supermarché,Supermarché,Formel,Supermarché,30.9202087,-6.9153371,icons/supermarket.png,OSM
Drâa-Tafilalet,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.6816034,-5.5330784,icons/restaurant.png,OSM
Drâa-Tafilalet,Berbère de la Montagne,Restaurant,Formel,Berbère de la Montagne,31.557878,-5.9095123,icons/restaurant.png,OSM
Drâa-Tafilalet,Café sans nom,Café,Formel,Café sans nom,31.4339018,-4.2315039,icons/cafe.png,OSM
Drâa-Tafilalet,Café sans nom,Café,Formel,Café sans nom,31.1952903,-6.168784,icons/cafe.png,OSM
Drâa-Tafilalet,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,31.6962689,-5.8169484,icons/pharmacy.png,OSM
Drâa-Tafilalet,Pharmacie du Maroc صيدلية المغرب,Parapharmacie,Formel,"Avenue Mohamed V شارع الحسن الثاني, Tinghir",31.5063276,-5.5392384,icons/pharmacy.png,OSM
Drâa-Tafilalet,Café sans nom,Café,Formel,Café sans nom,31.508106,-5.5391008,icons/cafe.png,OSM
Drâa-Tafilalet,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.510647,-5.5384669,icons/restaurant.png,OSM
Drâa-Tafilalet,El Korbat,Restaurant,Formel,El Korbat,31.4943871,-5.0855336,icons/restaurant.png,OSM
Drâa-Tafilalet,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.326629,-5.8391371,icons/convenience.png,OSM
Drâa-Tafilalet,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.1237365,-6.8814808,icons/convenience.png,OSM
Drâa-Tafilalet,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.0859008,-6.873738,icons/convenience.png,OSM
Drâa-Tafilalet,Restaurant Chegaga,Restaurant,Formel,Restaurant Chegaga,30.086317,-6.873883,icons/restaurant.png,OSM
Drâa-Tafilalet,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.9208586,-6.9143152,icons/restaurant.png,OSM
Drâa-Tafilalet,Le Soleil,Restaurant,Formel,Le Soleil,31.5477657,-5.589631,icons/restaurant.png,OSM
Drâa-Tafilalet,La Kasba,Restaurant,Formel,La Kasba,31.5232499,-5.5295443,icons/restaurant.png,OSM
Drâa-Tafilalet,"Café Restaurant ""La Source Bleue de Meski""",Restaurant,Formel,"Café Restaurant ""La Source Bleue de Meski""",31.8568625,-4.2836239,icons/restaurant.png,OSM
Drâa-Tafilalet,Cafe Restaurant Valle de Ziz,Restaurant,Formel,Cafe Restaurant Valle de Ziz,31.7903196,-4.239105,icons/restaurant.png,OSM
Drâa-Tafilalet,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,31.2839447,-4.2652537,icons/convenience.png,OSM
