Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Fès-Meknès,Marjane,Supermarché,Formel,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8544972,-5.5809736,icons/supermarket.png,OSM
Fès-Meknès,Cafe Jnane Albadia,Restaurant,Formel,Cafe Jnane Albadia,33.9442935,-5.5680171,icons/restaurant.png,OSM
Fès-Meknès,Supermarché sans nom,Supermarché,Formel,Taza تازة,34.2256209,-4.0061987,icons/supermarket.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.1459863,-4.0105932,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.9652412,-5.0320592,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.8554713,-4.8654251,icons/restaurant.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.65246,-5.0061702,icons/convenience.png,OSM
Fès-Meknès,sidi slimane,Café,Formel,av bir-anzarane,34.0714166,-5.5528482,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.895121,-5.562173,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.4568329,-5.2386639,icons/restaurant.png,OSM
Fès-Meknès,Chez Rachid,Restaurant,Formel,Chez Rachid,34.0617191,-4.9835992,icons/restaurant.png,OSM
Fès-Meknès,Cafe & Boucherie Assalama,Restaurant,Formel,Cafe & Boucherie Assalama,34.4519184,-5.5068193,icons/restaurant.png,OSM
Fès-Meknès,Pharmacie Bounoua صيدلية بونوا,Parapharmacie,Formel,"Avenue Bir Anzarene شارع بئر أنزران, Meknès ⴰⵎⴽⵏⴰⵙ مكناس",33.8923247,-5.547768,icons/pharmacy.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.7445004,-5.4768867,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.4337601,-5.2047914,icons/restaurant.png,OSM
Fès-Meknès,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,34.4940638,-5.5119143,icons/pharmacy.png,OSM
Fès-Meknès,Riad el Borj,Restaurant,Formel,Riad el Borj,33.0108408,-5.6327033,icons/restaurant.png,OSM
Fès-Meknès,Pharmacie Al Watanya الصيدلية الوطنية,Parapharmacie,Formel,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8930667,-5.5562267,icons/pharmacy.png,OSM
Fès-Meknès,Pharmacie Chifaa,Parapharmacie,Formel,Pharmacie Chifaa,33.7596908,-5.4852995,icons/pharmacy.png,OSM
Fès-Meknès,Pharmacie Zouhair صيدلية زهير,Parapharmacie,Formel,Azrou ⴰⵣⵔⵓ أزرو,33.4386614,-5.2118456,icons/pharmacy.png,OSM
Fès-Meknès,Pharmacie Ousadden صيدلية أوسادن,Parapharmacie,Formel,Azrou أزرو,33.4417744,-5.2260459,icons/pharmacy.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.0604663,-4.9725795,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.3664957,-5.1505268,icons/restaurant.png,OSM
Fès-Meknès,Kessaria,Épicerie,Informel,Kessaria,34.0650207,-4.9743144,icons/greengrocer.png,OSM
Fès-Meknès,Café Ahl Fès,Café,Formel,Café Ahl Fès,34.0574046,-5.0312894,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.3397783,-5.787488,icons/cafe.png,OSM
Fès-Meknès,Foody,Café,Formel,Foody,33.893644,-5.5661097,icons/cafe.png,OSM
Fès-Meknès,Scorpion du desert,Café,Formel,Scorpion du desert,34.0622496,-4.9821416,icons/cafe.png,OSM
Fès-Meknès,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.8808924,-5.5799437,icons/bakery.png,OSM
Fès-Meknès,Restaurants,Restaurant,Formel,Restaurants,33.5393091,-5.1057721,icons/restaurant.png,OSM
Fès-Meknès,Chez Said,Restaurant,Formel,Chez Said,33.5261354,-5.1163997,icons/restaurant.png,OSM
Fès-Meknès,AUI Shop,Supérette / Mini-market,Formel,AUI Shop,33.5391234,-5.1062583,icons/convenience.png,OSM
Fès-Meknès,Cafeteria Newrest,Café,Formel,Cafeteria Newrest,33.5392749,-5.1060704,icons/cafe.png,OSM
Fès-Meknès,Restaurant Al-Akhawayn,Restaurant,Formel,Restaurant Al-Akhawayn,33.5256644,-5.1158846,icons/restaurant.png,OSM
Fès-Meknès,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.525927,-5.1156773,icons/bakery.png,OSM
Fès-Meknès,Restaurant Chez Amal,Restaurant,Formel,Restaurant Chez Amal,33.5257643,-5.1161257,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.5259343,-5.1158567,icons/restaurant.png,OSM
Fès-Meknès,Chicken Restaurant,Restaurant,Formel,Chicken Restaurant,33.5260765,-5.1156509,icons/restaurant.png,OSM
Fès-Meknès,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.5293162,-5.1071559,icons/bakery.png,OSM
Fès-Meknès,La Paix,Restaurant,Formel,La Paix,33.528589,-5.1070631,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.447407,-5.5069253,icons/cafe.png,OSM
Fès-Meknès,Café El Waha,Café,Formel,rue Lalla Asmaa,34.0439607,-5.0039229,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2255137,-5.4757052,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.052065,-5.2320168,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2230964,-4.0074694,icons/cafe.png,OSM
Fès-Meknès,Café Dghoughi,Café,Formel,Taza تازة,34.2258577,-4.007845,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.2233094,-4.0082475,icons/restaurant.png,OSM
Fès-Meknès,Les Deux Rives,Restaurant,Formel,Les Deux Rives,34.2237502,-4.0084014,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2231898,-4.0079667,icons/cafe.png,OSM
Fès-Meknès,Snack Chez Amigos,Restaurant,Formel,Snack Chez Amigos,34.2234543,-4.0076748,icons/restaurant.png,OSM
Fès-Meknès,Patisserie Al-Ahram,Café,Formel,Patisserie Al-Ahram,34.22129,-4.0068587,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2235243,-4.00843,icons/cafe.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2221514,-4.0080022,icons/cafe.png,OSM
Fès-Meknès,La laiterie centrale,Restaurant,Formel,La laiterie centrale,34.2231066,-4.0077896,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2226254,-4.0089524,icons/cafe.png,OSM
Fès-Meknès,Cyber,Café,Formel,Cyber,34.2236716,-4.0084538,icons/cafe.png,OSM
Fès-Meknès,Forest,Restaurant,Formel,Forest,33.5290442,-5.1073719,icons/restaurant.png,OSM
Fès-Meknès,Restaurant Annour - Chez Hassan,Restaurant,Formel,Restaurant Annour - Chez Hassan,33.4370124,-5.2210309,icons/restaurant.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.1052567,-4.4535564,icons/convenience.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.1062783,-4.454742,icons/convenience.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.2850577,-4.6610859,icons/convenience.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2863902,-4.6637382,icons/cafe.png,OSM
Fès-Meknès,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,34.2864909,-4.6631478,icons/pharmacy.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.2867417,-4.6632354,icons/cafe.png,OSM
Fès-Meknès,Supermarché Ait El Kadi Said,Supermarché,Formel,Jordani,34.0449051,-5.0046161,icons/supermarket.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.0455008,-5.0036719,icons/convenience.png,OSM
Fès-Meknès,McDonald's ماكدونالدز,Restaurant,Formel,فاس,34.0443717,-4.9960062,icons/restaurant.png,OSM
Fès-Meknès,La Renaissance,Café,Formel,La Renaissance,34.0380331,-4.9979805,icons/cafe.png,OSM
Fès-Meknès,Pharmacie Centrale الصيدلية المركزية,Parapharmacie,Formel,"Boulevard Mohamed V, Fès",34.036761,-4.9978456,icons/pharmacy.png,OSM
Fès-Meknès,Kirawane,Café,Formel,Kirawane,34.0440652,-5.0004026,icons/cafe.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.8329256,-5.567795,icons/convenience.png,OSM
Fès-Meknès,Aire de service Meknes,Café,Formel,Aire de service Meknes,33.8318207,-5.5711745,icons/cafe.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.8318967,-5.5711303,icons/convenience.png,OSM
Fès-Meknès,Aire de service Meknes,Restaurant,Formel,Aire de service Meknes,33.8327875,-5.5680257,icons/restaurant.png,OSM
Fès-Meknès,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,34.0292175,-4.9951313,icons/greengrocer.png,OSM
Fès-Meknès,Carrefour Market Label'Vie,Supermarché,Formel,Fès,34.0221396,-4.9976204,icons/supermarket.png,OSM
Fès-Meknès,Souk Ain hijaj,Épicerie,Informel,Fez,34.0256154,-4.9725203,icons/greengrocer.png,OSM
Fès-Meknès,Cafe Victorine,Café,Formel,Cafe Victorine,34.0351562,-4.9989564,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.0708601,-5.5523391,icons/restaurant.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.1491844,-5.466061,icons/restaurant.png,OSM
Fès-Meknès,Café Clock,Restaurant,Formel,"Derb Magana, derb magana talaa kbira medina fes",34.0625611,-4.9832263,icons/restaurant.png,OSM
Fès-Meknès,L'Italien,Restaurant,Formel,"Av Omar Ibn Al Khattab شارع عمر ابن الخطاب, Fès فاس",34.0370687,-5.0139956,icons/restaurant.png,OSM
Fès-Meknès,Pizza Hut,Restaurant,Formel,Pizza Hut,33.8961331,-5.5547744,icons/restaurant.png,OSM
Fès-Meknès,Les Trois Boules d'Or,Restaurant,Formel,Les Trois Boules d'Or,34.0549965,-5.5211648,icons/restaurant.png,OSM
Fès-Meknès,Mezzanine,Restaurant,Formel,fes medina,34.0597569,-4.9884032,icons/restaurant.png,OSM
Fès-Meknès,Qaat Smen قاعة السمن,Épicerie,Informel,Fes Médina,34.0648647,-4.9806243,icons/greengrocer.png,OSM
Fès-Meknès,Souk el Henna,Épicerie,Informel,Fès,34.0654854,-4.9750793,icons/greengrocer.png,OSM
Fès-Meknès,Palais de Fès,Restaurant,Formel,fez medina,34.059973,-4.9719488,icons/restaurant.png,OSM
Fès-Meknès,Restaurant vesuvio,Restaurant,Formel,avenue des far 9 rue abi hayane taouhidi,34.0402405,-5.0077057,icons/restaurant.png,OSM
Fès-Meknès,Don Vitto,Restaurant,Formel,Don Vitto,34.0413429,-5.0072336,icons/restaurant.png,OSM
Fès-Meknès,Tannerie Ain Azliten,Épicerie,Informel,Fes Médina ain zleten,34.0656009,-4.9804437,icons/greengrocer.png,OSM
Fès-Meknès,Pharmacie Sakhra صيدلية الصخرة,Parapharmacie,Formel,Azrou ⴰⵣⵔⵓ أزرو,33.435806,-5.2202958,icons/pharmacy.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.0666182,-4.9733978,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.0473145,-5.0055963,icons/cafe.png,OSM
Fès-Meknès,Pharmacie Filali صيدلية فيلالي,Parapharmacie,Formel,"AV Obaida ibn El Jarrah, Fès",34.0400364,-5.0057261,icons/pharmacy.png,OSM
Fès-Meknès,Carrefour كارفور,Supermarché,Formel,فاس,34.0471687,-4.9861108,icons/supermarket.png,OSM
Fès-Meknès,Burger King,Restaurant,Formel,Burger King,34.04576,-4.9945966,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.0572001,-5.5183326,icons/cafe.png,OSM
Fès-Meknès,Paris 2,Café,Formel,Paris 2,33.8598387,-5.5491096,icons/cafe.png,OSM
Fès-Meknès,Marché central,Épicerie,Informel,Marché central,33.9000955,-5.5508996,icons/greengrocer.png,OSM
Fès-Meknès,Le Relais de Paris,Restaurant,Formel,Oqba -Ibn Nafia,33.9037749,-5.5573463,icons/restaurant.png,OSM
Fès-Meknès,Cafe piscine,Café,Formel,Cafe piscine,34.3671688,-5.2091696,icons/cafe.png,OSM
Fès-Meknès,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,34.3665361,-5.20863,icons/supermarket.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3651544,-5.2107283,icons/supermarket.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3645588,-5.2106049,icons/supermarket.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3643924,-5.2095172,icons/supermarket.png,OSM
Fès-Meknès,Pâtisserie,Restaurant,Formel,Pâtisserie,34.3641952,-5.2112383,icons/restaurant.png,OSM
Fès-Meknès,Cafe Rotana,Café,Formel,Cafe Rotana,34.3683259,-5.2119156,icons/cafe.png,OSM
Fès-Meknès,Boucher,Restaurant,Formel,Boucher,34.3688794,-5.2117949,icons/restaurant.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3690789,-5.2119089,icons/supermarket.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.3685336,-5.2123404,icons/cafe.png,OSM
Fès-Meknès,stand de nouvelles,Kiosque,Informel,stand de nouvelles,34.3692648,-5.2122602,icons/kiosk.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.36939,-5.2124961,icons/supermarket.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3685834,-5.2124383,icons/supermarket.png,OSM
Fès-Meknès,pharmacie,Supermarché,Formel,pharmacie,34.3686864,-5.2127776,icons/supermarket.png,OSM
Fès-Meknès,Hanut,Supermarché,Formel,Hanut,34.3566599,-5.2132336,icons/supermarket.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.105195,-4.4537125,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.106492,-4.4548819,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.1063232,-4.4549999,icons/restaurant.png,OSM
Fès-Meknès,Café sans nom,Café,Formel,Café sans nom,34.1053282,-4.4537768,icons/cafe.png,OSM
Fès-Meknès,Aire de service Fes,Café,Formel,Aire de service Fes,33.9380324,-4.8985246,icons/cafe.png,OSM
Fès-Meknès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.9364346,-4.8973391,icons/restaurant.png,OSM
Fès-Meknès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.9378635,-4.8986201,icons/convenience.png,OSM
