Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Guelmim-Oued Noun,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9025565,-11.4487153,icons/convenience.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.2429153,-9.1858835,icons/restaurant.png,OSM
Guelmim-Oued Noun,Pharmacie Al Wahda صيدلية الوحدة,Parapharmacie,Formel,Assa آسا,28.611136,-9.4307951,icons/pharmacy.png,OSM
Guelmim-Oued Noun,Pharmacie Zaouia صيدلية الزاوية,Parapharmacie,Formel,Assa,28.6097451,-9.4288218,icons/pharmacy.png,OSM
Guelmim-Oued Noun,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,28.4256978,-11.1101228,icons/greengrocer.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.4463848,-10.1156869,icons/restaurant.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.4467665,-10.1154264,icons/restaurant.png,OSM
Guelmim-Oued Noun,Fort Bou Jerif,Restaurant,Formel,Fort Bou Jerif,29.0820814,-10.3314026,icons/restaurant.png,OSM
Guelmim-Oued Noun,Equinoxe,Restaurant,Formel,Equinoxe,28.4992073,-11.3333018,icons/restaurant.png,OSM
Guelmim-Oued Noun,Lanzarote,Restaurant,Formel,Lanzarote,29.3793119,-10.174013,icons/restaurant.png,OSM
Guelmim-Oued Noun,Restaurante Laroussi,Restaurant,Formel,Restaurante Laroussi,29.3786011,-10.1731076,icons/restaurant.png,OSM
Guelmim-Oued Noun,Para Vital Pharmacie,Parapharmacie,Formel,Para Vital Pharmacie,28.9800555,-10.0556295,icons/pharmacy.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.059297,-9.4121651,icons/restaurant.png,OSM
Guelmim-Oued Noun,Ocean Miramar,Restaurant,Formel,Ocean Miramar,29.3829423,-10.173028,icons/restaurant.png,OSM
Guelmim-Oued Noun,Al Hourria,Café,Formel,Al Hourria,29.382327,-10.1725585,icons/cafe.png,OSM
Guelmim-Oued Noun,Pharmacie Sidi Ifni,Parapharmacie,Formel,Sidi Ifni,29.3797068,-10.1730646,icons/pharmacy.png,OSM
Guelmim-Oued Noun,Café sans nom,Café,Formel,Café sans nom,29.3696074,-9.7491886,icons/cafe.png,OSM
Guelmim-Oued Noun,Café sans nom,Café,Formel,Café sans nom,29.3807752,-9.7455837,icons/cafe.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.3806537,-9.7456695,icons/restaurant.png,OSM
Guelmim-Oued Noun,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.3694157,-9.7492154,icons/restaurant.png,OSM
Guelmim-Oued Noun,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,29.2969321,-9.5621819,icons/convenience.png,OSM
Guelmim-Oued Noun,Ali Baba,Café,Formel,Ali Baba,28.9813391,-10.0580782,icons/cafe.png,OSM
Guelmim-Oued Noun,Mar Pequeño,Restaurant,Formel,Sidi Ifni,29.3823386,-10.1752968,icons/restaurant.png,OSM
Guelmim-Oued Noun,Café sans nom,Café,Formel,Café sans nom,29.3799134,-10.1760982,icons/cafe.png,OSM
Guelmim-Oued Noun,Restaurant Dubai,Restaurant,Formel,Restaurant Dubai,28.497513,-11.3310565,icons/restaurant.png,OSM
