Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
L'Oriental,Retaurant de l'hôtel,Restaurant,Formel,Retaurant de l'hôtel,34.8670584,-1.3169643,icons/restaurant.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.8950827,-1.3293672,icons/convenience.png,OSM
L'Oriental,Zerga,Supérette / Mini-market,Formel,Zerga,34.8775831,-1.3221679,icons/convenience.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.8770693,-1.3243354,icons/cafe.png,OSM
L'Oriental,Le café Suisse,Café,Formel,Le café Suisse,34.8886236,-1.3269595,icons/cafe.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,تلمسان,34.8881311,-1.3263523,icons/pharmacy.png,OSM
L'Oriental,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,34.8843124,-1.3258276,icons/bakery.png,OSM
L'Oriental,LOKBANI,Parapharmacie,Formel,LOKBANI,34.8843244,-1.3257327,icons/pharmacy.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.8842598,-1.3261554,icons/cafe.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.8843908,-1.3251725,icons/convenience.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,تلمسان,34.8785915,-1.3255593,icons/pharmacy.png,OSM
L'Oriental,Pino,Restaurant,Formel,Boulevard Aïn Sbaa Ali,34.8776709,-1.3257946,icons/restaurant.png,OSM
L'Oriental,Equinox,Restaurant,Formel,Equinox,34.8754306,-1.3246791,icons/restaurant.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,تلمسان,34.8777547,-1.3230049,icons/restaurant.png,OSM
L'Oriental,Bendimered,Boulangerie,Formel,Bendimered,34.8752378,-1.3172956,icons/bakery.png,OSM
L'Oriental,Café fleur du jour,Café,Formel,Café fleur du jour,34.8781419,-1.3078935,icons/cafe.png,OSM
L'Oriental,Au Bon Gout,Restaurant,Formel,Au Bon Gout,34.8789705,-1.306993,icons/restaurant.png,OSM
L'Oriental,Zeriab,Restaurant,Formel,"Boulevard Mohamed V, Tlemcen",34.8755922,-1.3209887,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,تلمسان,34.8934732,-1.3288461,icons/cafe.png,OSM
L'Oriental,mercadilo,Supermarché,Formel,mercadilo,34.9425562,-2.7331765,icons/supermarket.png,OSM
L'Oriental,ⴰⴳⴰⴷⴰⵣ ⴻⵏ ⵜ'ⵥⴹⵓⴹⵉⵏ,Épicerie,Informel,ⴰⴳⴰⴷⴰⵣ ⴻⵏ ⵜ'ⵥⴹⵓⴹⵉⵏ,34.971458,-3.1502765,icons/greengrocer.png,OSM
L'Oriental,Resto Ambiance Ilyes,Restaurant,Formel,Resto Ambiance Ilyes,34.8826879,-1.3046639,icons/restaurant.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,تلمسان,34.8806017,-1.3245232,icons/pharmacy.png,OSM
L'Oriental,Pharmacie Kazi Tani Mohamed,Parapharmacie,Formel,Tlemcen,34.875568,-1.3245903,icons/pharmacy.png,OSM
L'Oriental,Resto,Restaurant,Formel,Resto,34.8644405,-1.3174461,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.8642028,-1.319034,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.6166189,-2.4385066,icons/cafe.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.6165218,-2.438571,icons/restaurant.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.6166979,-2.438762,icons/convenience.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.6151439,-2.4398563,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4094231,-3.1635485,icons/cafe.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.4096532,-3.1632588,icons/convenience.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.6149585,-2.4398778,icons/convenience.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4112819,-3.1643102,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.615294,-2.4398992,icons/cafe.png,OSM
L'Oriental,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.4109898,-3.1643317,icons/convenience.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4111226,-3.1643639,icons/cafe.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4096001,-3.163645,icons/restaurant.png,OSM
L'Oriental,Pharmacie Belkaddar صيدلية بلقدار,Parapharmacie,Formel,Taourirt تاوريرت,34.4159088,-2.8932854,icons/pharmacy.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4148993,-2.8943156,icons/cafe.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4130137,-2.893718,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4130237,-2.8939694,icons/cafe.png,OSM
L'Oriental,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,34.4128445,-2.8939694,icons/bakery.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4125545,-2.8944552,icons/cafe.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4125082,-2.8939816,icons/restaurant.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4124921,-2.8948823,icons/restaurant.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.4133902,-2.8942819,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4138252,-2.8941574,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4141635,-2.8945577,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4146005,-2.8970352,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4131285,-2.8934324,icons/cafe.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.413789,-2.8936033,icons/restaurant.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.415857,-2.8949482,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.409844,-2.8975893,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.4102246,-2.8972305,icons/cafe.png,OSM
L'Oriental,Restaurant Complexe Riyad 3,Restaurant,Formel,Restaurant Complexe Riyad 3,34.807741,-2.4117519,icons/restaurant.png,OSM
L'Oriental,Al Firdaous,Restaurant,Formel,Al Firdaous,34.908365,-1.3213343,icons/restaurant.png,OSM
L'Oriental,Café Petra,Café,Formel,Boulevard Mohammed V,34.6825515,-1.9158737,icons/cafe.png,OSM
L'Oriental,L'Excellence Délice Café,Café,Formel,"Boulevard Mohammed V, Oujda",34.6822316,-1.9163364,icons/cafe.png,OSM
L'Oriental,La Defense Café,Café,Formel,"Boulevard Mohammed V, Oujda",34.6808727,-1.9177871,icons/cafe.png,OSM
L'Oriental,Café Rihab,Café,Formel,"Boulevard Moulay Idriss Al Akbar, Oujda",34.678355,-1.9192075,icons/cafe.png,OSM
L'Oriental,Souk Al Qods,Épicerie,Informel,Souk Al Qods,34.680695,-1.9084975,icons/greengrocer.png,OSM
L'Oriental,Café Le Prince,Café,Formel,"Place La Douane, Oujda",34.6915917,-1.9074503,icons/cafe.png,OSM
L'Oriental,Café Salazar,Café,Formel,"Boulevard Brahim Roudani, Oujda",34.6759793,-1.8757829,icons/cafe.png,OSM
L'Oriental,Café Marrakech,Café,Formel,"Boulevard Brahim Roudani, Oujda",34.6764849,-1.8805842,icons/cafe.png,OSM
L'Oriental,Restaurant De France,Restaurant,Formel,"Boulevard Mohammed V, Oujda",34.6826408,-1.9164414,icons/restaurant.png,OSM
L'Oriental,Café Colombo,Café,Formel,Café Colombo,34.6825813,-1.9165272,icons/cafe.png,OSM
L'Oriental,Café Annakhil,Café,Formel,Café Annakhil,34.6838528,-1.9163227,icons/cafe.png,OSM
L'Oriental,Café Rosalia,Café,Formel,Boulevard Mohammed V,34.682492,-1.9159514,icons/cafe.png,OSM
L'Oriental,Café Trocadero,Café,Formel,"Boulevard Allal Ben Abdallah, Oujda",34.6794135,-1.9197189,icons/cafe.png,OSM
L'Oriental,Café Design,Café,Formel,"Boulevard Mohammed V, Oujda",34.6817735,-1.917287,icons/cafe.png,OSM
L'Oriental,Café Arsenal,Café,Formel,Boulevard Mohammed V,34.6823222,-1.9162196,icons/cafe.png,OSM
L'Oriental,Marché Al Massira,Épicerie,Informel,Marché Al Massira,34.7002352,-1.9187711,icons/greengrocer.png,OSM
L'Oriental,Espace Numerique,Café,Formel,"Rue Abdelaziz El Fechtali, Oujda",34.6876123,-1.9200877,icons/cafe.png,OSM
L'Oriental,Café Cristal,Café,Formel,Café Cristal,34.6724002,-1.9175392,icons/cafe.png,OSM
L'Oriental,Restaurant El Kabados,Restaurant,Formel,Boulevard Omar Ibn Al Khattab,34.6723598,-1.9160314,icons/restaurant.png,OSM
L'Oriental,Café Belle Vue,Café,Formel,Café Belle Vue,34.6721657,-1.9171094,icons/cafe.png,OSM
L'Oriental,Café Pyramide,Café,Formel,Café Pyramide,34.6805898,-1.9191452,icons/cafe.png,OSM
L'Oriental,Café Al Bahia,Café,Formel,"Boulevard Zerktouni, Oujda",34.6808103,-1.9189195,icons/cafe.png,OSM
L'Oriental,Café Le Trésor,Café,Formel,Boulevard Mohammed V,34.684001,-1.9155616,icons/cafe.png,OSM
L'Oriental,Sindibad,Restaurant,Formel,"Boulevard Mohammed Derfoufi, Oujda",34.6859429,-1.9167361,icons/restaurant.png,OSM
L'Oriental,Café Jeddah,Café,Formel,Café Jeddah,34.6852488,-1.914829,icons/cafe.png,OSM
L'Oriental,Café La Foire,Café,Formel,Café La Foire,34.6757913,-1.9281586,icons/cafe.png,OSM
L'Oriental,Café Venise,Café,Formel,Boulevard Mohammed V,34.6954942,-1.9038672,icons/cafe.png,OSM
L'Oriental,Café sans nom,Café,Formel,Café sans nom,34.7080582,-1.8920976,icons/cafe.png,OSM
L'Oriental,Pharmacie de La Gare صيدلية المحطة,Parapharmacie,Formel,"1 Place de la Gare, Boulevard El Hansali, Place de la Gare, Oujda وجدة",34.680722,-1.9220727,icons/pharmacy.png,OSM
L'Oriental,Pharmacie Mouslim صيدلية مسلم,Parapharmacie,Formel,"Boulevard Mohammed V, Oujda",34.6831136,-1.9160562,icons/pharmacy.png,OSM
L'Oriental,Pharmacie La Salle Couverte صيدلية القاعة المغطاة,Parapharmacie,Formel,"Rue 5, Hay Khalloufi, Oujda",34.6740316,-1.9285056,icons/pharmacy.png,OSM
L'Oriental,Pharmacie Chrif صيدلية الشريف,Parapharmacie,Formel,"Boulevard Abderahim Bouabid, Oujda",34.6772616,-1.8891874,icons/pharmacy.png,OSM
L'Oriental,Café Ophéon,Café,Formel,"Angle Boulevard Hassan II et Boulevard Mohammed VI, Boulevard Mohammed VI, Oujda",34.664374,-1.9069091,icons/cafe.png,OSM
L'Oriental,Pharmacie Ain Sarrak صيدلية عين السراق,Parapharmacie,Formel,"Route Aouinet Serrak, Oujda",34.6579575,-1.9218621,icons/pharmacy.png,OSM
L'Oriental,Café Karam,Café,Formel,Café Karam,34.6682594,-1.9318511,icons/cafe.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,34.8694632,-1.334881,icons/pharmacy.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,المنصورة,34.8875584,-1.3398283,icons/pharmacy.png,OSM
L'Oriental,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.6808476,-1.923131,icons/restaurant.png,OSM
L'Oriental,Boutique El Baghdadi,Supérette / Mini-market,Formel,"Rue Bedjaoui Chaouche Ahmed, Tlemcen",34.878529,-1.3203194,icons/convenience.png,OSM
L'Oriental,Parapharmacie sans nom,Parapharmacie,Formel,تلمسان,34.8785137,-1.3186535,icons/pharmacy.png,OSM
L'Oriental,Resto,Restaurant,Formel,مغنية,34.8437906,-1.7593742,icons/restaurant.png,OSM
L'Oriental,Café Crèmerie Le Dauphin,Café,Formel,"Boulevard Mohammed VI, Oujda",34.6567681,-1.9000319,icons/cafe.png,OSM
L'Oriental,More & Ben's,Restaurant,Formel,"Rue Assair, Oujda",34.6533707,-1.8966778,icons/restaurant.png,OSM
L'Oriental,Brimo Snack,Restaurant,Formel,"Boulevard Zerktouni, Oujda",34.6805009,-1.9194455,icons/restaurant.png,OSM
L'Oriental,Restaurant Nacional,Restaurant,Formel,"Boulevard Allal Ben Abdallah, Oujda",34.6805539,-1.9198479,icons/restaurant.png,OSM
L'Oriental,Restaurant Miami Inn,Restaurant,Formel,"Boulevard Mohammed V, Oujda",34.6816602,-1.9174026,icons/restaurant.png,OSM
L'Oriental,Ramses Pizza,Restaurant,Formel,Boulevard Mohammed V,34.6791326,-1.919004,icons/restaurant.png,OSM
L'Oriental,Le Comme Chez Soi,Restaurant,Formel,"Rue Sijilmassa, Oujda",34.6818081,-1.9183227,icons/restaurant.png,OSM
L'Oriental,Le Dauphin,Restaurant,Formel,"Rue Berkane, Oujda",34.6856988,-1.9174161,icons/restaurant.png,OSM
L'Oriental,Café La Belle D'Orient,Restaurant,Formel,"Boulevard Ahfir, Oujda",34.6880278,-1.9160535,icons/restaurant.png,OSM
L'Oriental,Pharmacie Assafae صيدلية الصفاء,Parapharmacie,Formel,"Rue 226E, وجدة",34.7034449,-1.9220778,icons/pharmacy.png,OSM
L'Oriental,Pharmacie Al Hilal Al Akhdar صيدلية الهلال الأخضر,Parapharmacie,Formel,"Boulevard Brahim Roudani, Oujda",34.6762864,-1.8788408,icons/pharmacy.png,OSM
L'Oriental,Café Farah,Café,Formel,"Boulevard Brahim Roudani, Oujda",34.6762114,-1.8809812,icons/cafe.png,OSM
L'Oriental,Café Ngadi,Café,Formel,Café Ngadi,34.7023553,-1.9195643,icons/cafe.png,OSM
L'Oriental,Café Nagrouz,Café,Formel,Café Nagrouz,34.7016372,-1.9195279,icons/cafe.png,OSM
L'Oriental,Café Oujda Paris,Café,Formel,Café Oujda Paris,34.7001113,-1.9194153,icons/cafe.png,OSM
L'Oriental,Snack Mic-Mac,Restaurant,Formel,Snack Mic-Mac,34.6926972,-1.9180286,icons/restaurant.png,OSM
L'Oriental,Pharmacie Tarik Ibn Ziad صيدلية طارق بن زياد,Parapharmacie,Formel,"Rue Assadiyine, Oujda",34.6943086,-1.9164627,icons/pharmacy.png,OSM
L'Oriental,Café Iceberg,Café,Formel,Oujda,34.6890563,-1.9174658,icons/cafe.png,OSM
L'Oriental,Café Blanche,Café,Formel,Café Blanche,34.6898723,-1.9177823,icons/cafe.png,OSM
L'Oriental,Café Paradise,Café,Formel,"Rue Al Mouahidine, Oujda",34.6843277,-1.9162535,icons/cafe.png,OSM
L'Oriental,Mr. Smith,Restaurant,Formel,"Boulevard Mohammed VI, Oujda",34.6565768,-1.9007235,icons/restaurant.png,OSM
L'Oriental,Café Arena Palace,Café,Formel,"Rue Miraj, Oujda",34.6579977,-1.8970649,icons/cafe.png,OSM
L'Oriental,Club Mistral,Restaurant,Formel,"Rue Sabra, Oujda",34.6571103,-1.897322,icons/restaurant.png,OSM
L'Oriental,Café Guest,Café,Formel,"Rue Sabra, Oujda",34.6571525,-1.8977549,icons/cafe.png,OSM
L'Oriental,Café Bouskri,Café,Formel,"Rue Ennabatia, Oujda",34.658536,-1.8967806,icons/cafe.png,OSM
L'Oriental,Espace Jasmin,Café,Formel,Espace Jasmin,34.6593968,-1.9028106,icons/cafe.png,OSM
L'Oriental,La Verone,Café,Formel,La Verone,34.6590571,-1.9030199,icons/cafe.png,OSM
L'Oriental,Café B.lanco,Café,Formel,Café B.lanco,34.6663219,-1.8972531,icons/cafe.png,OSM
L'Oriental,L'Arôme Blanc,Café,Formel,Avenue des Forces Armées Royales (FAR),34.6918745,-1.9114851,icons/cafe.png,OSM
L'Oriental,Times Square Café,Café,Formel,"Boulevard Prince Héritier Moulay Al Hassan, Oujda",34.6912886,-1.9177076,icons/cafe.png,OSM
