Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9025565,-11.4487153,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Pharmacie Smara صيدلية السمارة,Parapharmacie,Formel,"Avenue Mohamed V شارع الحسن الثاني, Smara السمارة",26.7408247,-11.6754109,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,Pharmacie Faiz صيدلية الفايز,Parapharmacie,Formel,"Avenue Moualy Abdelaziz, Smara السمارة",26.7403876,-11.6741184,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,Samir,Supermarché,Formel,Samir,27.1516869,-13.2340182,icons/supermarket.png,OSM
Laâyoune-Sakia El Hamra,Mercado de Meharizze سوق امهيريز,Supermarché,Formel,امهيريز,26.1410196,-11.0526174,icons/supermarket.png,OSM
Laâyoune-Sakia El Hamra,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,27.1289823,-13.1720561,icons/supermarket.png,OSM
Laâyoune-Sakia El Hamra,Restaurant sans nom,Restaurant,Formel,El Aaiún العيون‎,27.154346,-13.1971882,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Via Fleuor فيا فلور,Restaurant,Formel,"Place al-Mokkawama, Laâyoune",27.1500448,-13.1978666,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,مقهى,Café,Formel,بوجدور,26.1256245,-14.4848576,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Grande Pharmacie الصيدلية الكبرى,Parapharmacie,Formel,"Avenue Hassan II, Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور",26.1257232,-14.4847926,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,Arabisque,Café,Formel,Arabisque,27.1635391,-13.2034053,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,La Fontaine,Café,Formel,La Fontaine,27.1636012,-13.2034013,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Café Ariha,Café,Formel,Café Ariha,27.1559854,-13.200644,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Le Délice,Restaurant,Formel,Le Délice,27.9385063,-12.9238693,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9383088,-12.9251289,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Casamar,Restaurant,Formel,Casamar,27.9386777,-12.9242636,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Pharmacie La Santé صيدلية الصحة,Parapharmacie,Formel,Tarfaya ⵟⴰⵔⴼⴰⵢⴰ طرفاية,27.9377888,-12.9234023,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,Café Las Dunas,Café,Formel,Café Las Dunas,27.9396051,-12.9269254,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Café Atlantic,Café,Formel,Café Atlantic,27.9394586,-12.9264036,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9359686,-12.9261818,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,27.9380212,-12.9227435,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Atlas,Café,Formel,Atlas,27.9388178,-12.9256375,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9387228,-12.9253438,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Café Tropicano,Café,Formel,Café Tropicano,27.9384804,-12.9246694,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.9393413,-12.9260566,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,27.9417525,-12.9263768,icons/greengrocer.png,OSM
Laâyoune-Sakia El Hamra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,26.1247749,-14.4851679,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,26.1251494,-14.4856976,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Pharmacie Populaire الصيدلية الشعبية,Parapharmacie,Formel,"Boulevard Hassan II, Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور",26.1277695,-14.4817936,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,Belice,Restaurant,Formel,Belice,26.1278538,-14.4816374,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Café Joumana,Café,Formel,Café Joumana,26.1278742,-14.4815844,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Snack Oussama سناك أسامة,Restaurant,Formel,Snack Oussama سناك أسامة,26.1280001,-14.4813357,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Café Aljadida,Café,Formel,Café Aljadida,26.1279579,-14.4814456,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Lameniar,Restaurant,Formel,Lameniar,26.1285732,-14.4813813,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Café Rawan,Café,Formel,Café Rawan,27.1730164,-13.4010156,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Café Coquillage,Café,Formel,Café Coquillage,27.1739738,-13.4003759,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,27.1784048,-13.3962641,icons/convenience.png,OSM
Laâyoune-Sakia El Hamra,Pharmacie Rabab,Parapharmacie,Formel,Laâyoune,27.1394345,-13.1858946,icons/pharmacy.png,OSM
Laâyoune-Sakia El Hamra,مخبزة الساقية الحمراء,Boulangerie,Formel,السمارة,26.7367737,-11.6754095,icons/bakery.png,OSM
Laâyoune-Sakia El Hamra,ماكدونالدز,Restaurant,Formel,"Place Dchira, Laâyoune",27.1502301,-13.1996732,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Café sans nom,Café,Formel,Café sans nom,27.1630739,-13.2163582,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Café sans nom,Café,Formel,Café sans nom,27.9871369,-12.6171226,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Snack titanic سناك تيتانيك,Restaurant,Formel,Lotissement el ouahda bloc D lot aouda n804,27.1366919,-13.1729547,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Gout de Fès,Restaurant,Formel,Gout de Fès,27.151557,-13.2004333,icons/restaurant.png,OSM
Laâyoune-Sakia El Hamra,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,27.1617754,-13.2003485,icons/greengrocer.png,OSM
Laâyoune-Sakia El Hamra,Café sans nom,Café,Formel,Café sans nom,27.162146,-13.2020431,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,27.1610901,-13.2031747,icons/bakery.png,OSM
Laâyoune-Sakia El Hamra,Lamadone,Café,Formel,Lamadone,27.1514768,-13.2003522,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Café sans nom,Café,Formel,Café sans nom,27.1538426,-13.2017276,icons/cafe.png,OSM
Laâyoune-Sakia El Hamra,Ichwa Frappés aux Fruits et Omelettes,Café,Formel,Laâyoune,27.1568818,-13.2028079,icons/cafe.png,OSM
