Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Marrakech-Safi,McDonald's,Restaurant,Formel,McDonald's,31.6331559,-8.0088887,icons/restaurant.png,OSM
Marrakech-Safi,Al Fassia,Restaurant,Formel,"Boulevard Mohammed Zerktouni, Marrakech",31.6359916,-8.0133642,icons/restaurant.png,OSM
Marrakech-Safi,Café Bousafsaf,Café,Formel,Café Bousafsaf,31.641836,-8.0026233,icons/cafe.png,OSM
Marrakech-Safi,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,31.2293552,-7.6691471,icons/pharmacy.png,OSM
Marrakech-Safi,Zwin Zwin café,Restaurant,Formel,"Rue El Moustachfa, Marrakech",31.6219848,-7.9884598,icons/restaurant.png,OSM
Marrakech-Safi,Narwama,Restaurant,Formel,"Rue Koutoubia, Marrakech",31.6260554,-7.9922352,icons/restaurant.png,OSM
Marrakech-Safi,Grand Balcon du Café Glacier,Café,Formel,Grand Balcon du Café Glacier,31.6253377,-7.9883071,icons/cafe.png,OSM
Marrakech-Safi,Les Premices,Café,Formel,Les Premices,31.6252093,-7.987833,icons/cafe.png,OSM
Marrakech-Safi,Taj'in Darna,Restaurant,Formel,Taj'in Darna,31.6254632,-7.9877675,icons/restaurant.png,OSM
Marrakech-Safi,Toubkal,Restaurant,Formel,Toubkal,31.6254141,-7.9877413,icons/restaurant.png,OSM
Marrakech-Safi,Café Argana,Restaurant,Formel,Café Argana,31.6266252,-7.9889459,icons/restaurant.png,OSM
Marrakech-Safi,Aqua,Café,Formel,Aqua,31.6261349,-7.9874794,icons/cafe.png,OSM
Marrakech-Safi,La Farmacie,Restaurant,Formel,"Rue des Banques, Marrakech Medina",31.626511,-7.9872135,icons/restaurant.png,OSM
Marrakech-Safi,Café de France,Café,Formel,Café de France,31.6263381,-7.987307,icons/cafe.png,OSM
Marrakech-Safi,Les Terrasses de l'Alhambra,Restaurant,Formel,Les Terrasses de l'Alhambra,31.6267722,-7.9875678,icons/restaurant.png,OSM
Marrakech-Safi,Café des Epices,Café,Formel,"75 Rahba Lakdima, Marrakech",31.6290624,-7.9873234,icons/cafe.png,OSM
Marrakech-Safi,Un Déjeuner à Marrakech,Restaurant,Formel,"Douar Graoua, Marrakech",31.6240078,-7.9849483,icons/restaurant.png,OSM
Marrakech-Safi,Chez Chegrouni,Restaurant,Formel,Place Djemaa Al Fnaa,31.6267243,-7.9871002,icons/restaurant.png,OSM
Marrakech-Safi,Bougainvillea,Café,Formel,Bougainvillea,31.6298432,-7.9899252,icons/cafe.png,OSM
Marrakech-Safi,Café Arabe,Restaurant,Formel,"rue Mouassine, Marrakech",31.6307879,-7.9893484,icons/restaurant.png,OSM
Marrakech-Safi,Yochkad Supermarché,Supermarché,Formel,"Boulevard Moulay Rachid, Marrakech",31.6327017,-8.0123764,icons/supermarket.png,OSM
Marrakech-Safi,Acima,Supermarché,Formel,Acima,31.6371714,-8.0179297,icons/supermarket.png,OSM
Marrakech-Safi,Pizza Hut,Restaurant,Formel,Pizza Hut,31.6300985,-8.0044276,icons/restaurant.png,OSM
Marrakech-Safi,Carrefour,Supermarché,Formel,Carrefour,31.592773,-7.9863483,icons/supermarket.png,OSM
Marrakech-Safi,Le Charlot,Café,Formel,Le Charlot,31.6306645,-8.0044857,icons/cafe.png,OSM
Marrakech-Safi,Ait Bougumez,Restaurant,Formel,Ait Bougumez,31.6216083,-7.9911376,icons/restaurant.png,OSM
Marrakech-Safi,El Marini,Supérette / Mini-market,Formel,El Marini,31.6308302,-8.0072135,icons/convenience.png,OSM
Marrakech-Safi,Pharmacie El Janoub صيدلية الجنوب,Parapharmacie,Formel,"Rue Chajarat el Filine, Marrakech",31.6197141,-8.0517407,icons/pharmacy.png,OSM
Marrakech-Safi,La Petite Perle,Restaurant,Formel,La Petite Perle,31.5124742,-9.7711049,icons/restaurant.png,OSM
Marrakech-Safi,Chez Ben Mostafa,Restaurant,Formel,Chez Ben Mostafa,31.5123454,-9.7719927,icons/restaurant.png,OSM
Marrakech-Safi,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.5108633,-9.7723079,icons/restaurant.png,OSM
Marrakech-Safi,Superette Fath,Supermarché,Formel,Superette Fath,31.5031204,-9.7588506,icons/supermarket.png,OSM
