Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Rabat-Salé-Kénitra,Marjane,Supermarché,Formel,Marjane,33.9540447,-6.8534265,icons/supermarket.png,OSM
Rabat-Salé-Kénitra,Label'Vie Souissi,Supermarché,Formel,Label'Vie Souissi,33.9821138,-6.8287801,icons/supermarket.png,OSM
Rabat-Salé-Kénitra,McDonald's,Restaurant,Formel,McDonald's,33.9954233,-6.8473937,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Parapharmacie sans nom,Parapharmacie,Formel,Rue Maziata,33.9695454,-6.8643092,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Pharmacie l'Hôpital Militaire صيدلية المستشفى العسكري,Parapharmacie,Formel,"Avenue Al Arz شارع الأرز, Rabat ⵔⴱⴰⵟ الرباط",33.9639919,-6.8701924,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Pharmacie Misk صيدلية مسك,Parapharmacie,Formel,"Avenue Abderrahim Bouabid شارع عبد الرحيم بوعبيد, Rabat ⵔⴱⴰⵟ الرباط",33.9632595,-6.8729779,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Pharmacie Ryad صيدلية الرياض,Parapharmacie,Formel,"Avenue Annakhil شارع النخيل, Rabat",33.9622649,-6.87713,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Asswak Assalam,Supermarché,Formel,Asswak Assalam,33.9482419,-6.8695243,icons/supermarket.png,OSM
Rabat-Salé-Kénitra,Pharmacie Ibn Sina صيدلية ابن سينا,Parapharmacie,Formel,"Avenue Fal Ould Oumeir شارع فال ولد عمير, Rabat ⵔⴱⴰⵟ الرباط",33.9962816,-6.8481761,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Pharmacie Moderne الصيدلية العصرية,Parapharmacie,Formel,Rabat,34.0002024,-6.8468272,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Pizza Hut,Restaurant,Formel,"Avenue de France شارع فرنسا, Rabat ⵔⴱⴰⵟ الرباط",33.998388,-6.8455206,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Pizzaki,Restaurant,Formel,Pizzaki,33.9965988,-6.8504761,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Rotisserie Atlas,Restaurant,Formel,Rotisserie Atlas,33.9952254,-6.8502014,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,La Pause Gourmande,Café,Formel,La Pause Gourmande,33.9956359,-6.8475119,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Oukaimeden,Café,Formel,Oukaimeden,33.996395,-6.8478566,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Pizza Hut,Restaurant,Formel,Pizza Hut,33.9531222,-6.8543921,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Pharmacie Marjane Hay Ryad صيدلية مرجان حي الرياض,Parapharmacie,Formel,"Rocade de Rabat الطريق السيار المداري الرباط, Rabat",33.9538628,-6.8525408,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,La Matelot,Restaurant,Formel,La Matelot,34.0276674,-6.8302289,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.848339,-6.2165211,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Café Balima,Café,Formel,Café Balima,34.0181798,-6.8355016,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Ty Potes,Restaurant,Formel,Rue Ghafsa,34.0172043,-6.8318751,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,McDonald's,Restaurant,Formel,McDonald's,34.0173844,-6.8347226,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Nefertiti,Café,Formel,Rabat,34.0244046,-6.8309897,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Coq Magic,Restaurant,Formel,Coq Magic,34.0202844,-6.8276726,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Pharmacie Benyahya صيدلية بنيحيى,Parapharmacie,Formel,"Avenue Hassan II شارع الحسن الثاني, Rabat",34.0059473,-6.856221,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.2285068,-6.5809859,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Supermarché de la Tour Hassan,Supérette / Mini-market,Formel,Supermarché de la Tour Hassan,34.0188393,-6.8299462,icons/convenience.png,OSM
Rabat-Salé-Kénitra,La Mamma,Restaurant,Formel,La Mamma,34.0184807,-6.8348346,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,The Media Luna,Café,Formel,The Media Luna,34.0175803,-6.8328014,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Le studio,Restaurant,Formel,Le studio,34.0160907,-6.8309051,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Dar Naji,Restaurant,Formel,Rue Jazirat Al Arab,34.0216395,-6.8418268,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Pizza Hut,Restaurant,Formel,Rabat ⵔⴱⴰⵟ الرباط,33.9735371,-6.8302849,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.9372462,-6.8142176,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,33.979623,-6.8212343,icons/greengrocer.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.94086,-6.8101836,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Rachida's store,Supérette / Mini-market,Formel,Rachida's store,33.9621729,-6.8100205,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Chez Aziz,Épicerie,Informel,Chez Aziz,33.9560463,-6.8687042,icons/greengrocer.png,OSM
Rabat-Salé-Kénitra,Aire de service M'Nasra,Restaurant,Formel,Aire de service M'Nasra,34.644684,-6.4077755,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Aire de service M'Nasra,Restaurant,Formel,Aire de service M'Nasra,34.6442242,-6.4060539,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Hotel Le Lagon,Restaurant,Formel,Hotel Le Lagon,34.8766177,-6.2920411,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Ihssane,Café,Formel,Ihssane,34.0687568,-6.7919518,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Pharmacie Kounouz,Parapharmacie,Formel,Pharmacie Kounouz,33.9630866,-6.8666198,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.7777019,-7.2327092,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.7794207,-7.2334873,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Café sans nom,Café,Formel,Café sans nom,33.9904215,-6.7365638,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Carrefour Market,Supermarché,Formel,Carrefour Market,33.9961674,-6.7418478,icons/supermarket.png,OSM
Rabat-Salé-Kénitra,Marché Central,Supermarché,Formel,Marché Central,33.9993206,-6.744927,icons/supermarket.png,OSM
Rabat-Salé-Kénitra,Café sans nom,Café,Formel,Café sans nom,33.9872364,-6.739171,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Café la Valée,Café,Formel,Café la Valée,33.9877782,-6.7389616,icons/cafe.png,OSM
Rabat-Salé-Kénitra,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,33.9629145,-6.8609751,icons/convenience.png,OSM
Rabat-Salé-Kénitra,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,33.9696221,-6.8642845,icons/bakery.png,OSM
Rabat-Salé-Kénitra,Paul,Boulangerie,Formel,"Mahaj Ryad, Rabat ⵔⴱⴰⵟ الرباط",33.9598787,-6.8680169,icons/bakery.png,OSM
Rabat-Salé-Kénitra,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,33.9629153,-6.86091,icons/greengrocer.png,OSM
Rabat-Salé-Kénitra,Pharmacie et Laboratoire Zitoune صيدلية و مختبر الزيتون,Parapharmacie,Formel,"Rue Al Karm زنقة الكرم, Rabat",33.962087,-6.8636699,icons/pharmacy.png,OSM
Rabat-Salé-Kénitra,Paul,Boulangerie,Formel,Paul,33.9895332,-6.8484932,icons/bakery.png,OSM
Rabat-Salé-Kénitra,Tajine wa Tanja,Restaurant,Formel,Tajine wa Tanja,34.0154111,-6.8373784,icons/restaurant.png,OSM
Rabat-Salé-Kénitra,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.0176115,-6.563386,icons/restaurant.png,OSM
