Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Souss-Massa,Hotel Atlas,Restaurant,Formel,Hotel Atlas,29.5802473,-10.0329322,icons/restaurant.png,OSM
Souss-Massa,Café sans nom,Café,Formel,Café sans nom,30.0868826,-8.4596428,icons/cafe.png,OSM
Souss-Massa,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,30.0318929,-8.3144743,icons/greengrocer.png,OSM
Souss-Massa,Restaurant Assounfou,Café,Formel,Restaurant Assounfou,30.3143258,-8.5481641,icons/cafe.png,OSM
Souss-Massa,Restaurant Al Baraka,Restaurant,Formel,Restaurant Al Baraka,30.5004495,-9.6716395,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.5877986,-9.7514888,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.8043322,-9.8325501,icons/restaurant.png,OSM
Souss-Massa,Kerdous,Restaurant,Formel,Kerdous,29.5494272,-9.3397743,icons/restaurant.png,OSM
Souss-Massa,"Hotel, Restaurant Tanger",Restaurant,Formel,"Hotel, Restaurant Tanger",29.7208075,-8.9727766,icons/restaurant.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,29.7199325,-8.971569,icons/convenience.png,OSM
Souss-Massa,Chez Massaoud,Café,Formel,Chez Massaoud,29.5427868,-8.8674689,icons/cafe.png,OSM
Souss-Massa,Cafe Afriquia,Café,Formel,Cafe Afriquia,29.6662999,-9.7217401,icons/cafe.png,OSM
Souss-Massa,InBarbecue,Restaurant,Formel,InBarbecue,30.4173858,-9.6001347,icons/restaurant.png,OSM
Souss-Massa,Café Restaurant Oasis,Restaurant,Formel,Café Restaurant Oasis,30.4691365,-8.8833289,icons/restaurant.png,OSM
Souss-Massa,Yacout,Restaurant,Formel,Yacout,30.4209001,-9.5947798,icons/restaurant.png,OSM
Souss-Massa,Le Soleil Couchant,Café,Formel,Le Soleil Couchant,29.5689671,-10.0514944,icons/cafe.png,OSM
Souss-Massa,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,30.4973074,-9.6719074,icons/supermarket.png,OSM
Souss-Massa,Café sans nom,Café,Formel,Café sans nom,30.4971303,-9.6721546,icons/cafe.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.2429153,-9.1858835,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.6794961,-9.4829418,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.6792345,-9.4838558,icons/restaurant.png,OSM
Souss-Massa,Kasbah Tiout,Restaurant,Formel,Kasbah Tiout,30.3857415,-8.694872,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.3823509,-8.6986977,icons/restaurant.png,OSM
Souss-Massa,Ait Wadrim,Restaurant,Formel,Ait Wadrim,30.4103843,-9.5565181,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.4125515,-9.5877921,icons/restaurant.png,OSM
Souss-Massa,Fish restaurant area,Restaurant,Formel,Fish restaurant area,30.4261363,-9.6195901,icons/restaurant.png,OSM
Souss-Massa,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,30.6738227,-8.18074,icons/greengrocer.png,OSM
Souss-Massa,Cafe/Resto du Centre,Restaurant,Formel,Cafe/Resto du Centre,29.5797926,-10.0346249,icons/restaurant.png,OSM
Souss-Massa,Riad El Aissi,Restaurant,Formel,Riad El Aissi,30.4760781,-8.9406863,icons/restaurant.png,OSM
Souss-Massa,Wagga d'Aglou,Restaurant,Formel,Wagga d'Aglou,29.8460488,-9.8037562,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.4463848,-10.1156869,icons/restaurant.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.4467665,-10.1154264,icons/restaurant.png,OSM
Souss-Massa,mirleft imi ntourga les amicales ميرلفت إيمي انتركا الأصدقاء,Restaurant,Formel,mirleft imi ntourga les amicales ميرلفت إيمي انتركا الأصدقاء,29.5896219,-10.0395257,icons/restaurant.png,OSM
Souss-Massa,Suq el Hed,Épicerie,Informel,Suq el Hed,30.4846704,-8.8760697,icons/greengrocer.png,OSM
Souss-Massa,Hotel Les Arcades,Café,Formel,Hotel Les Arcades,30.4696667,-8.8827123,icons/cafe.png,OSM
Souss-Massa,Fort Bou Jerif,Restaurant,Formel,Fort Bou Jerif,29.0820814,-10.3314026,icons/restaurant.png,OSM
Souss-Massa,Lanzarote,Restaurant,Formel,Lanzarote,29.3793119,-10.174013,icons/restaurant.png,OSM
Souss-Massa,Restaurante Laroussi,Restaurant,Formel,Restaurante Laroussi,29.3786011,-10.1731076,icons/restaurant.png,OSM
Souss-Massa,McDonald's ماكدونالدز,Restaurant,Formel,McDonald's ماكدونالدز,30.410738,-9.5949739,icons/restaurant.png,OSM
Souss-Massa,Pizza Hut,Restaurant,Formel,Pizza Hut,30.4150904,-9.5974504,icons/restaurant.png,OSM
Souss-Massa,Souk El Had,Épicerie,Informel,Souk El Had,30.4129527,-9.5792173,icons/greengrocer.png,OSM
Souss-Massa,Le Nil,Restaurant,Formel,Le Nil,30.4179942,-9.6059667,icons/restaurant.png,OSM
Souss-Massa,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,30.4328818,-9.5909197,icons/supermarket.png,OSM
Souss-Massa,Carrefour market Label'vie,Supermarché,Formel,"Avenue Yacoub Al Mansour, Agadir",30.4259826,-9.5925047,icons/supermarket.png,OSM
Souss-Massa,Boutique de confiserie sans nom,Boutique de confiserie,Informel,Boutique de confiserie sans nom,30.4133644,-9.5792334,icons/confectionery.png,OSM
Souss-Massa,LE DOME,Restaurant,Formel,LE DOME,30.4212519,-9.6001751,icons/restaurant.png,OSM
Souss-Massa,Boulangerie sans nom,Boulangerie,Formel,Boulangerie sans nom,30.4217596,-9.6003016,icons/bakery.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.6140492,-8.3922355,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.6457013,-8.4676951,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.6462328,-8.3594453,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.8337299,-8.3983662,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.8549358,-8.379004,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.9144599,-8.290645,icons/convenience.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.9539097,-8.2520901,icons/convenience.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,30.4550672,-9.3597571,icons/restaurant.png,OSM
Souss-Massa,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,30.4550903,-9.3598965,icons/convenience.png,OSM
Souss-Massa,Aire de service Amskroud,Café,Formel,Aire de service Amskroud,30.4551042,-9.3599529,icons/cafe.png,OSM
Souss-Massa,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,29.059297,-9.4121651,icons/restaurant.png,OSM
Souss-Massa,Café sans nom,Café,Formel,Café sans nom,29.1228011,-8.9407683,icons/cafe.png,OSM
Souss-Massa,Café épicerie,Café,Formel,Café épicerie,30.2799774,-8.4842144,icons/cafe.png,OSM
Souss-Massa,Ocean Miramar,Restaurant,Formel,Ocean Miramar,29.3829423,-10.173028,icons/restaurant.png,OSM
Souss-Massa,Baccara Roulette,Restaurant,Formel,Baccara Roulette,30.4197798,-9.6040068,icons/restaurant.png,OSM
Souss-Massa,Etoile Du Sud,Restaurant,Formel,Etoile Du Sud,30.4224271,-9.6077873,icons/restaurant.png,OSM
Souss-Massa,Al Hourria,Café,Formel,Al Hourria,29.382327,-10.1725585,icons/cafe.png,OSM
Souss-Massa,Pharmacie Sidi Ifni,Parapharmacie,Formel,Sidi Ifni,29.3797068,-10.1730646,icons/pharmacy.png,OSM
Souss-Massa,Aftas...,Café,Formel,Aftas...,30.5016209,-9.670886,icons/cafe.png,OSM
Souss-Massa,Azelmza,Restaurant,Formel,Azelmza,30.5008689,-9.6712849,icons/restaurant.png,OSM
Souss-Massa,Bab Aourir,Restaurant,Formel,Bab Aourir,30.4996465,-9.6719903,icons/restaurant.png,OSM
Souss-Massa,Café Restaurant Adar,Restaurant,Formel,Café Restaurant Adar,30.585583,-9.7578621,icons/restaurant.png,OSM
Souss-Massa,Café Restaurant Allemagne,Café,Formel,Café Restaurant Allemagne,30.513791,-9.6825779,icons/cafe.png,OSM
Souss-Massa,Le Q G,Restaurant,Formel,Le Q G,30.5009853,-9.6708221,icons/restaurant.png,OSM
Souss-Massa,Patisserie Aourir,Boulangerie,Formel,Patisserie Aourir,30.4985781,-9.6661808,icons/bakery.png,OSM
Souss-Massa,Pharmacie Anezi صيدلية أنزي,Parapharmacie,Formel,Agadir ⴰⴳⴰⴷⵉⵔ أگادير,30.417109,-9.6003148,icons/pharmacy.png,OSM
Souss-Massa,Pharmacie Aourir,Parapharmacie,Formel,Pharmacie Aourir,30.4976427,-9.6707924,icons/pharmacy.png,OSM
Souss-Massa,Pharmarcie Al Wiam,Parapharmacie,Formel,Pharmarcie Al Wiam,30.5051263,-9.6720385,icons/pharmacy.png,OSM
Souss-Massa,Pharmacie La Province صيدلية العمالة,Parapharmacie,Formel,"Avenue Des FAR, Inezgane ⵉⵏⴻⵣⴳⴰⵏ إنزگان",30.3624128,-9.534122,icons/pharmacy.png,OSM
Souss-Massa,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,30.4147845,-9.5988659,icons/pharmacy.png,OSM
