Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Tanger-Tétouan-Al Hoceïma,McDonald's,Restaurant,Formel,McDonald's,35.8888321,-5.3125926,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.8897639,-5.3128157,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.7522694,-5.3409793,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.063027,-5.1132289,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.1485382,-4.3682743,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.848339,-6.2165211,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.2042699,-6.146,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,35.3411929,-5.9678584,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.4222247,-6.0621619,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Aswak Assalam أسواق السلام,Supermarché,Formel,Aswak Assalam أسواق السلام,35.7379579,-5.8742949,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Sunset,Restaurant,Formel,Sunset,35.7599201,-5.93881,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Marina Hercule,Restaurant,Formel,Marina Hercule,35.7602418,-5.9388809,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Marjane,Supermarché,Formel,Marjane,35.7462167,-5.8448104,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,La Farma,Restaurant,Formel,La Farma,35.6655051,-5.30717,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Parapharmacie sans nom,Parapharmacie,Formel,وادي لو,35.4509821,-5.0920937,icons/pharmacy.png,OSM
Tanger-Tétouan-Al Hoceïma,مطعم آرامار,Restaurant,Formel,وادي لو,35.4495138,-5.0906689,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café des jeux,Café,Formel,Café des jeux,35.1698706,-5.2651252,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.9787921,-4.7701549,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Marjane,Supermarché,Formel,Marjane,35.6025334,-5.3344705,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Epsilon,Café,Formel,Epsilon,35.7345696,-5.8930403,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Hamadi,Café,Formel,Hamadi,35.7346741,-5.8958298,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,34.5362653,-4.5058535,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,34.5370178,-4.5062633,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Rif,Café,Formel,Rif,35.1669057,-5.2633269,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Lidl,Supermarché,Formel,Ceuta,35.8910426,-5.3188625,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Farmacia Almadraba,Parapharmacie,Formel,"Calle Colonia Romeu, Ceuta",35.8794689,-5.3365891,icons/pharmacy.png,OSM
Tanger-Tétouan-Al Hoceïma,Cafe Restaurant Tiforna,Restaurant,Formel,Cafe Restaurant Tiforna,35.4986397,-5.4360047,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,35.4701925,-5.402679,icons/pharmacy.png,OSM
Tanger-Tétouan-Al Hoceïma,Sed Nakhla Restaurant Panoramique,Restaurant,Formel,"Route de Chefchaouen, km 18, Zinat - Tétouan",35.4461912,-5.3935795,icons/restaurant.png,OSM
