Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Fès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,33.9652412,-5.0320592,icons/restaurant.png,OSM
Fès,Chez Rachid,Restaurant,Formel,Chez Rachid,34.0617191,-4.9835992,icons/restaurant.png,OSM
Fès,Café sans nom,Café,Formel,Café sans nom,34.0604663,-4.9725795,icons/cafe.png,OSM
Fès,Kessaria,Épicerie,Informel,Kessaria,34.0650207,-4.9743144,icons/greengrocer.png,OSM
Fès,Café Ahl Fès,Café,Formel,Café Ahl Fès,34.0574046,-5.0312894,icons/cafe.png,OSM
Fès,Scorpion du desert,Café,Formel,Scorpion du desert,34.0622496,-4.9821416,icons/cafe.png,OSM
Fès,Café El Waha,Café,Formel,rue Lalla Asmaa,34.0439607,-5.0039229,icons/cafe.png,OSM
Fès,Supermarché Ait El Kadi Said,Supermarché,Formel,Jordani,34.0449051,-5.0046161,icons/supermarket.png,OSM
Fès,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,34.0455008,-5.0036719,icons/convenience.png,OSM
Fès,McDonald's ماكدونالدز,Restaurant,Formel,فاس,34.0443717,-4.9960062,icons/restaurant.png,OSM
Fès,La Renaissance,Café,Formel,La Renaissance,34.0380331,-4.9979805,icons/cafe.png,OSM
Fès,Pharmacie Centrale الصيدلية المركزية,Parapharmacie,Formel,"Boulevard Mohamed V, Fès",34.036761,-4.9978456,icons/pharmacy.png,OSM
Fès,Kirawane,Café,Formel,Kirawane,34.0440652,-5.0004026,icons/cafe.png,OSM
Fès,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,34.0292175,-4.9951313,icons/greengrocer.png,OSM
Fès,Carrefour Market Label'Vie,Supermarché,Formel,Fès,34.0221396,-4.9976204,icons/supermarket.png,OSM
Fès,Souk Ain hijaj,Épicerie,Informel,Fez,34.0256154,-4.9725203,icons/greengrocer.png,OSM
Fès,Cafe Victorine,Café,Formel,Cafe Victorine,34.0351562,-4.9989564,icons/cafe.png,OSM
Fès,Café Clock,Restaurant,Formel,"Derb Magana, derb magana talaa kbira medina fes",34.0625611,-4.9832263,icons/restaurant.png,OSM
Fès,L'Italien,Restaurant,Formel,"Av Omar Ibn Al Khattab شارع عمر ابن الخطاب, Fès فاس",34.0370687,-5.0139956,icons/restaurant.png,OSM
Fès,Mezzanine,Restaurant,Formel,fes medina,34.0597569,-4.9884032,icons/restaurant.png,OSM
Fès,Qaat Smen قاعة السمن,Épicerie,Informel,Fes Médina,34.0648647,-4.9806243,icons/greengrocer.png,OSM
Fès,Souk el Henna,Épicerie,Informel,Fès,34.0654854,-4.9750793,icons/greengrocer.png,OSM
Fès,Palais de Fès,Restaurant,Formel,fez medina,34.059973,-4.9719488,icons/restaurant.png,OSM
Fès,Restaurant vesuvio,Restaurant,Formel,avenue des far 9 rue abi hayane taouhidi,34.0402405,-5.0077057,icons/restaurant.png,OSM
Fès,Don Vitto,Restaurant,Formel,Don Vitto,34.0413429,-5.0072336,icons/restaurant.png,OSM
Fès,Tannerie Ain Azliten,Épicerie,Informel,Fes Médina ain zleten,34.0656009,-4.9804437,icons/greengrocer.png,OSM
Fès,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.0666182,-4.9733978,icons/restaurant.png,OSM
Fès,Café sans nom,Café,Formel,Café sans nom,34.0473145,-5.0055963,icons/cafe.png,OSM
Fès,Pharmacie Filali صيدلية فيلالي,Parapharmacie,Formel,"AV Obaida ibn El Jarrah, Fès",34.0400364,-5.0057261,icons/pharmacy.png,OSM
Fès,Carrefour كارفور,Supermarché,Formel,فاس,34.0471687,-4.9861108,icons/supermarket.png,OSM
Fès,Burger King,Restaurant,Formel,Burger King,34.04576,-4.9945966,icons/restaurant.png,OSM
Fès,Cafe Jazirat Laila,Café,Formel,Cafe Jazirat Laila,34.0158041,-4.9701262,icons/cafe.png,OSM
Fès,Pizza Hut,Restaurant,Formel,Pizza Hut,34.0450785,-4.9951537,icons/restaurant.png,OSM
Fès,La Maison Bleue,Restaurant,Formel,2 Place de L’Istiqlal,34.060642,-4.9818415,icons/restaurant.png,OSM
