Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Marrakech,McDonald's,Restaurant,Formel,McDonald's,31.6331559,-8.0088887,icons/restaurant.png,OSM
Marrakech,Al Fassia,Restaurant,Formel,"Boulevard Mohammed Zerktouni, Marrakech",31.6359916,-8.0133642,icons/restaurant.png,OSM
Marrakech,Café Bousafsaf,Café,Formel,Café Bousafsaf,31.641836,-8.0026233,icons/cafe.png,OSM
Marrakech,Zwin Zwin café,Restaurant,Formel,"Rue El Moustachfa, Marrakech",31.6219848,-7.9884598,icons/restaurant.png,OSM
Marrakech,Narwama,Restaurant,Formel,"Rue Koutoubia, Marrakech",31.6260554,-7.9922352,icons/restaurant.png,OSM
Marrakech,Grand Balcon du Café Glacier,Café,Formel,Grand Balcon du Café Glacier,31.6253377,-7.9883071,icons/cafe.png,OSM
Marrakech,Les Premices,Café,Formel,Les Premices,31.6252093,-7.987833,icons/cafe.png,OSM
Marrakech,Taj'in Darna,Restaurant,Formel,Taj'in Darna,31.6254632,-7.9877675,icons/restaurant.png,OSM
Marrakech,Toubkal,Restaurant,Formel,Toubkal,31.6254141,-7.9877413,icons/restaurant.png,OSM
Marrakech,Café Argana,Restaurant,Formel,Café Argana,31.6266252,-7.9889459,icons/restaurant.png,OSM
Marrakech,Aqua,Café,Formel,Aqua,31.6261349,-7.9874794,icons/cafe.png,OSM
Marrakech,La Farmacie,Restaurant,Formel,"Rue des Banques, Marrakech Medina",31.626511,-7.9872135,icons/restaurant.png,OSM
Marrakech,Café de France,Café,Formel,Café de France,31.6263381,-7.987307,icons/cafe.png,OSM
Marrakech,Les Terrasses de l'Alhambra,Restaurant,Formel,Les Terrasses de l'Alhambra,31.6267722,-7.9875678,icons/restaurant.png,OSM
Marrakech,Café des Epices,Café,Formel,"75 Rahba Lakdima, Marrakech",31.6290624,-7.9873234,icons/cafe.png,OSM
Marrakech,Un Déjeuner à Marrakech,Restaurant,Formel,"Douar Graoua, Marrakech",31.6240078,-7.9849483,icons/restaurant.png,OSM
Marrakech,Chez Chegrouni,Restaurant,Formel,Place Djemaa Al Fnaa,31.6267243,-7.9871002,icons/restaurant.png,OSM
Marrakech,Bougainvillea,Café,Formel,Bougainvillea,31.6298432,-7.9899252,icons/cafe.png,OSM
Marrakech,Café Arabe,Restaurant,Formel,"rue Mouassine, Marrakech",31.6307879,-7.9893484,icons/restaurant.png,OSM
Marrakech,Yochkad Supermarché,Supermarché,Formel,"Boulevard Moulay Rachid, Marrakech",31.6327017,-8.0123764,icons/supermarket.png,OSM
Marrakech,Acima,Supermarché,Formel,Acima,31.6371714,-8.0179297,icons/supermarket.png,OSM
Marrakech,Pizza Hut,Restaurant,Formel,Pizza Hut,31.6300985,-8.0044276,icons/restaurant.png,OSM
Marrakech,Carrefour,Supermarché,Formel,Carrefour,31.592773,-7.9863483,icons/supermarket.png,OSM
Marrakech,Le Charlot,Café,Formel,Le Charlot,31.6306645,-8.0044857,icons/cafe.png,OSM
Marrakech,Ait Bougumez,Restaurant,Formel,Ait Bougumez,31.6216083,-7.9911376,icons/restaurant.png,OSM
Marrakech,El Marini,Supérette / Mini-market,Formel,El Marini,31.6308302,-8.0072135,icons/convenience.png,OSM
Marrakech,Pharmacie El Janoub صيدلية الجنوب,Parapharmacie,Formel,"Rue Chajarat el Filine, Marrakech",31.6197141,-8.0517407,icons/pharmacy.png,OSM
Marrakech,Pharmacie Loughribi صيدلية لوغريبي,Parapharmacie,Formel,"Route de Fes, Marrakech",31.6482637,-7.9444873,icons/pharmacy.png,OSM
Marrakech,Pharmacie La Province صيدلي العمالة,Parapharmacie,Formel,"Route de Fes, Marrakech",31.6455351,-7.9818213,icons/pharmacy.png,OSM
Marrakech,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,31.6486984,-7.9412994,icons/restaurant.png,OSM
Marrakech,Souk Kafé,Restaurant,Formel,Souk Kafé,31.6317761,-7.9886906,icons/restaurant.png,OSM
Marrakech,Cafe Baghdadia,Café,Formel,Avenue Abd El Krim El Khattabi,31.6361156,-8.0172346,icons/cafe.png,OSM
Marrakech,Les Maîtres du Pain,Boulangerie,Formel,Les Maîtres du Pain,31.6399883,-8.0235043,icons/bakery.png,OSM
Marrakech,Dar Moha,Restaurant,Formel,Rue Dar El Bacha,31.6313665,-7.9932671,icons/restaurant.png,OSM
Marrakech,Kechmara,Restaurant,Formel,"Rue de la Liberté, Marrakech",31.6341509,-8.0133768,icons/restaurant.png,OSM
Marrakech,Grand Café de la Poste,Restaurant,Formel,Grand Café de la Poste,31.6331197,-8.010006,icons/restaurant.png,OSM
Marrakech,Musèe de Marrakech,Café,Formel,Musèe de Marrakech,31.6316273,-7.9863832,icons/cafe.png,OSM
Marrakech,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,31.6360735,-7.9973076,icons/supermarket.png,OSM
Marrakech,Belgueni,Restaurant,Formel,Belgueni,31.6384177,-8.0176395,icons/restaurant.png,OSM
Marrakech,Carrefour Market,Supermarché,Formel,Carrefour Market,31.6285279,-8.0025701,icons/supermarket.png,OSM
